// Generated using In-game Timecyc Editor 1.8 written by fastman92
// Visit fastman92-site.tk

//////////// EXTRASUNNY_LA
//Amb			Amb_Obj	Dir			Sky top			Sky bot		SunCore		SunCorona	SunSz	SprSz	SprBght	Shdw	LightShd	PoleShd	FarClp	FogSt	LightOnGround	LowCloudsRGB	BottomCloudRGB	WaterRGBA			Alpha1	RGB1			Alpha2	RGB2		CloudAlpha		Illumination
//Midnight
64 64 64	205 205 205	255 255 255	0 0 0	9 9 9	255 149 43	255 176 98	3.2 0.3 0.4 181 100 0 1200 789 2	0 0 0	0 0 0	63 63 63 255	127 0 0 0	127 0 0 0	0 0 0 0
//5AM
231 231 231	255 255 255	255 255 255	104 104 104	77 77 77	255 177 100	255 177 100	0.1 1.2 0.3 181 90 0 1200 785 0.5	0 0 0	0 0 0	17 49 63 255	127 0 0 0	127 0 0 0	0 0 0 0
//6AM
255 255 255	255 255 255	255 255 255	96 96 96	95 95 95	248 255 251	0 0 0	0.1 0.6 0.2 181 109 0 1203 784 0.5	0 0 0	0 0 0	63 87 127 255	127 0 0 0	127 0 0 0	0 0 0 0
//7AM
255 255 255	255 255 255	255 255 255	96 96 96	98 98 98	255 209 164	0 0 0	0.1 1 0.3 181 255 255 1203 780 0.5	0 0 0	0 0 0	42 91 127 255	127 0 0 0	127 0 0 0	0 0 0 0
//Midday
255 255 255	255 255 255	255 255 255	86 86 86	96 96 96	0 0 0	0 0 0	0.2 1 0.3 181 255 255 1201 793 0.5	0 0 0	0 0 0	25 58 76 255	127 0 0 0	127 0 0 0	0 0 0 0
//7PM
255 255 255	255 255 255	255 255 255	96 96 96	98 98 98	0 0 0	255 138 51	0.1 0.5 0.2 180 255 255 1200 798 0.8	0 0 0	0 0 0	49 88 127 255	127 0 0 0	127 0 0 0	0 0 0 0
//8PM
154 154 154	255 255 255	255 255 255	69 83 85	115 128 129	0 0 0	255 163 70	8.8 0.6 0.3 181 80 0 1200 790 1	0 0 0	0 0 0	40 86 127 255	127 0 0 0	127 0 0 0	0 0 0 0
//10PM
89 89 89	255 255 255	255 255 255	91 91 91	39 39 39	255 128 0	254 196 73	1 0.4 0.2 181 100 0 1200 788 1	0 0 0	0 0 0	58 58 58 255	127 0 0 0	127 0 0 0	0 0 0 0
//
//////////// SUNNY_LA
//Amb			Amb_Obj	Dir			Sky top			Sky bot		SunCore		SunCorona	SunSz	SprSz	SprBght	Shdw	LightShd	PoleShd	FarClp	FogSt	LightOnGround	LowCloudsRGB	BottomCloudRGB	WaterRGBA			Alpha1	RGB1			Alpha2	RGB2		CloudAlpha		Illumination
//Midnight
64 64 64	205 205 205	255 255 255	0 0 0	9 9 9	255 149 43	255 176 98	3.2 0.3 0.4 181 100 0 1200 789 2	0 0 0	0 0 0	63 63 63 255	127 0 0 0	127 0 0 0	0 0 0 0
//5AM
231 231 231	255 255 255	255 255 255	104 104 104	77 77 77	255 177 100	255 177 100	0.1 1.2 0.3 181 90 0 1200 785 0.5	0 0 0	0 0 0	17 49 63 255	127 0 0 0	127 0 0 0	0 0 0 0
//6AM
255 255 255	255 255 255	255 255 255	96 96 96	95 95 95	248 255 251	0 0 0	0.1 0.6 0.2 181 109 0 1203 784 0.5	0 0 0	0 0 0	63 87 127 255	127 0 0 0	127 0 0 0	0 0 0 0
//7AM
255 255 255	255 255 255	255 255 255	96 96 96	98 98 98	255 209 164	0 0 0	0.1 1 0.3 181 255 255 1203 780 0.5	0 0 0	0 0 0	42 91 127 255	127 0 0 0	127 0 0 0	0 0 0 0
//Midday
255 255 255	255 255 255	255 255 255	86 86 86	96 96 96	0 0 0	0 0 0	0.2 1 0.3 181 255 255 1201 793 0.5	0 0 0	0 0 0	25 58 76 255	127 0 0 0	127 0 0 0	0 0 0 0
//7PM
255 255 255	255 255 255	255 255 255	96 96 96	98 98 98	0 0 0	255 138 51	0.1 0.5 0.2 180 255 255 1200 798 0.8	0 0 0	0 0 0	49 88 127 255	127 0 0 0	127 0 0 0	0 0 0 0
//8PM
154 154 154	255 255 255	255 255 255	69 83 85	115 128 129	0 0 0	255 163 70	8.8 0.6 0.3 181 80 0 1200 790 1	0 0 0	0 0 0	40 86 127 255	127 0 0 0	127 0 0 0	0 0 0 0
//10PM
89 89 89	255 255 255	255 255 255	91 91 91	39 39 39	255 128 0	254 196 73	1 0.4 0.2 181 100 0 1200 788 1	0 0 0	0 0 0	58 58 58 255	127 0 0 0	127 0 0 0	0 0 0 0
//
//////////// EXTRASUNNY_SMOG_LA
//Amb			Amb_Obj	Dir			Sky top			Sky bot		SunCore		SunCorona	SunSz	SprSz	SprBght	Shdw	LightShd	PoleShd	FarClp	FogSt	LightOnGround	LowCloudsRGB	BottomCloudRGB	WaterRGBA			Alpha1	RGB1			Alpha2	RGB2		CloudAlpha		Illumination
//Midnight
64 64 64	205 205 205	255 255 255	0 0 0	9 9 9	255 149 43	255 176 98	3.2 0.3 0.4 181 100 0 1200 789 2	0 0 0	0 0 0	63 63 63 255	127 0 0 0	127 0 0 0	0 0 0 0
//5AM
231 231 231	255 255 255	255 255 255	104 104 104	77 77 77	255 177 100	255 177 100	0.1 1.2 0.3 181 90 0 1200 785 0.5	0 0 0	0 0 0	17 49 63 255	127 0 0 0	127 0 0 0	0 0 0 0
//6AM
255 255 255	255 255 255	255 255 255	96 96 96	95 95 95	248 255 251	0 0 0	0.1 0.6 0.2 181 109 0 1203 784 0.5	0 0 0	0 0 0	63 87 127 255	127 0 0 0	127 0 0 0	0 0 0 0
//7AM
255 255 255	255 255 255	255 255 255	96 96 96	98 98 98	255 209 164	0 0 0	0.1 1 0.3 181 255 255 1203 780 0.5	0 0 0	0 0 0	42 91 127 255	127 0 0 0	127 0 0 0	0 0 0 0
//Midday
